難易度	曲名	ソフラン	敷譜面	交差譜面	定数	BPM	演奏時間	楽曲情報
37	What's up? Pop!	×	敷譜面	交差譜面	37.5	170-230	02:35.5	ついに解禁されてしまった4本指必須譜面。BPM400の16分でくの字って何事なの？
37	ヤミナベ!!!!	ソフラン	敷譜面	交差譜面	37.5	174-300	02:06.5	圧倒的BPMと速度変化が特徴。運指を組むことで一番太刀打ちの利く37でもある
37	人生	ソフラン	敷譜面	交差譜面	37.5	142-185	02:22.8	地力譜面をめちゃくちゃに突き詰めたみたいな譜面。今からでもトレース終点にしません？
36	the EmpErroR	×	×	×	36.3	240	02:04.5	高速耐性と技術両方が必要。BPM240でフリック直後にタップ置いてくるのマジで何なんだ...
35	マシンガンポエムドール	×	×	×	35.9	220	02:15.0	35だ35だと言われ続けついに昇格...どころか、35の曲プールの中でも最強格の地力譜面
35	Don't Fight The Music	×	敷譜面	交差譜面	35.9	74-200	02:36.2	技術全ブッパな譜面。指押しなどが苦手だと苦しいが、BPMは比較的遅めで詰めやすいかも
35	初音ミクの消失	×	×	交差譜面	35.6	240	02:20.5	指押しほぼほぼ必須級の譜面であり逃げ運指を作るのが非常に困難。体力的にもキツい
35	エンドマークに希望と涙を添えて	×	×	×	35.3	257	02:15.2	六兆年の昇格により35である程度の位置にはついた模様。高速連打は意外と練習が効くぞ
35	六兆年と一夜物語	×	×	×	35.0	93-186	01:59.8	本当に謎なことに腐れ外道を置いて35へ昇格。エンドマとどのくらい差があるかは疑念が残る
34	腐れ外道とチョコレゐト	×	敷譜面	交差譜面	34.9	260	02:09.5	エンドマに比べると長いトリルこそないがフリックの精度が非常に求められる。どう考えても35
34	初音ミクの激唱	×	×	×	34.4	200	02:36.9	16bitとあまりにも差がありすぎた譜面がやっと34に昇格。5k処理や運指構築力が求められる
34	ÅMARA(大未来電脳)	×	敷譜面	交差譜面	34.0	112-229	02:31.6	16bitと同じく研究こそが死ぬほど物を言う譜面。仕様まで理解してあげると安定感も上がる
33	ゴーストルール	×	×	×	33.6	210	02:18.7	運指を理解した上であっても必要な地力やエイム力が旧32の中でもズバ抜けて高かった...
33	初音天地開闢神話	×	×	×	33.6	240	02:56.3	ゴーストルールと共に.6としたのはÅMARA残留故の苦渋の決断。必要地力は16bitより断然高い
33	ロストワンの号哭	×	×	×	33.1	162	01:43.0	認識難譜面とはいえど、その上でゴリ押し要素がありすぎて昇格させた可能性がある
33	ぼくらの16bit戦争	×	×	交差譜面	33.0	122	02:24.5	終盤は運指研究必至だが、低難易度にも交差曲が増えてきたしいよいよ33である必要性g(殴
32	ヒバナ -Reloaded-	×	×	×	32.9	200	01:33.0	初期からあった譜面にも関わらず、未だにあそこまでゴリゴリの5鍵指押しが飛んでくる32これだけ
32	星界ちゃんと可不ちゃんのおつかい合騒曲	×	×	×	32.8	220	02:29.2	1サビのフリックは真上にめっちゃ動かすかすぐ離すかの2択。シンプルに忙しく体力勝負
32	拝啓ドッペルゲンガー	×	×	×	32.7	181	02:27.4	六兆年のものとあまり速さが変わらない高速トリルや16分からの同時押しが多く、かなりの個人差
32	CIRCUS PANIC!!!	ソフラン	×	×	32.6	136-166	02:15.4	やはりラストのBPM249の16分相当25打がAPカッター。他もほぼほぼフィクサー同等の忙しさ
32	セツナトリップ	ソフラン	敷譜面	交差譜面	32.6	145	02:32.1	初披露より圧倒的に下方修正を食らい楽しさは増した。ラスサビのゴリ押しはムズい
32	脳漿炸裂ガール	×	×	×	32.5	155	02:20.5	大会決勝初見曲。ゴリ押し要素の強いロストワンのほうがまだ強そう、運指研究は忘れずに
32	ドクター＝ファンクビート	×	×	×	32.5	150	02:01.2	本来BPMは300(ソース:作曲者本人)。とてもクセが強く間奏発狂はかなりの難易度を誇る
32	フューチャー・イヴ	×	×	×	32.5	190	02:29.4	1サビ前やラストなど認識が難しい部分や24分、ラスサビの4k配置などさまざまな技術を要する
32	トンデモワンダーズ	×	×	×	32.4	160-180	01:59.3	基本BPMは172。はちゃめちゃなワンダショがついに本気を出してしまった...
32	Brand New Day	×	×	×	32.4	185	02:08.1	完全に地力で殴る譜面。認識難は様々な運指が見込めるので自分に合ったものを見つけよう
32	チルドレンレコード	×	×	×	32.3	210	02:03.0	テオとどちらが難しいかは個人差。密度が高い上単ノーツも混じるためなかなか視認が苦しい
32	インビジブル	×	×	×	32.3	192	02:18.0	32入門と言われていたが、ある程度の立場を確立している模様。間奏のスライドは端まで行く必要ナシ
32	テオ	×	×	×	32.2	185	01:49.0	初代からある元31の譜面であり32の中でも取り組みやすいほう。純粋に地力が求められる
32	千本桜	×	×	×	32.1	154	01:59.6	研究を積み運指を覚えれば32ほどの脅威はない。慣れれば小粒終点のほうが脅威だったりする
32	バグ	×	×	×	32.0	186	02:03.6	初見APが数名出ている事実こそバグです。おそらく31に一番近い32か。後半の認識難の運指注意
31	ビターチョコデコレーション	×	×	×	31.9	174	02:04.8	くの字配置がかなり多く慣れるまで苦しい。だがマスターできれば多くの譜面で応用が可能となる
31	ポジティブ☆ダンスタイム	×	×	×	31.9	210	01:49.1	むずくてネガティブ★台パンタイムになる。短ホールド絡みの配置は縦連を意識しよう
31	フロイライン＝ビブリォチカ	×	×	×	31.8	185	02:17.5	久々にかなりエグめの31到来。BPM370の16分3打が絡むラストのラッシュはかなり衝撃的
31	脱法ロック	×	×	×	31.8	155	01:58.4	Q.脱法ロックは難しいですか？ A.はい。難しいです。圧倒的個人差があります。
31	グリーンライツ・セレナーデ	×	×	×	31.8	200	01:53.0	Omoi氏の曲両方むずい。テオほどのキツい配置というわけではないが物量が増えている
31	ぼうけんのしょがきえました！	×	×	×	31.7	176	01:44.8	仕様変更により終点を取るのが圧倒的にラクに。どちらにしろくの字など高い地力は必要だが...
31	オルターエゴ	×	×	×	31.7	176	02:26.9	転調前と転調後でハッキリと難易度が変わるように感じる。曲が結構長くてツラいポイントの一つ
31	カゲロウデイズ	×	×	×	31.7	200	02:18.6	全体的に見れば素直な地力譜面であるが局所でゴリ押しor指押しが求められる。あと長いしんどい
31	フィクサー	×	×	×	31.7	135	01:57.3	ロウワーの認識難をほぼ全てゴリ押しに変えましたみたいな譜面。忙しく微縦連が苦手だとキツい
31	ジャンキーナイトタウンオーケストラ	×	×	×	31.6	145	02:18.2	元30だが、現環境の曲を見ると31中堅というところまで登り詰めている。当時の30はおかしかった
31	チュルリラ・チュルリラ・ダッダッダ！	×	×	×	31.6	220	02:15.8	今思えばコイツが元30だったのが本当に信じられない......曲も長く局所に難しい配置がある
31	エゴイスト	×	×	×	31.6	180	02:24.0	なんといっても32分が特徴的。ラスサビ前地帯もムズいので花を唄うで練習もアリ
31	私の恋はヘルファイア	×	×	×	31.6	200	02:25.1	圧倒的フリックの数から苦手意識を持たれがち。曲通り譜面も中継点がうるさい
31	地球最後の告白を	×	×	×	31.6	140-190	02:04.0	他の認識難配置とは一線を画している配置がある。他にも指押し推奨配置や最後の同時などの難所も
31	コスモスパイス	×	×	×	31.6	165	01:59.3	昇格によってガチのカップヌードル最難関へ。とにかく16分音符→同時が多すぎて苦手な人はマジで苦手
31	Mr. Showtime	×	×	×	31.5	218	02:13.2	BPM327の16分が大量に飛んでくるバケモン。譜面自体の癖も強く難解なリズムもある
31	徳川カップヌードル禁止令	×	×	×	31.5	178	02:02.2	ネタ極振り譜面なせいでクセも抜群に強いができれば楽しい。連続フリックはしっかり16分で叩こう
31	君色マリンスノウ	×	×	交差譜面	31.5	202	02:18.4	しっかり難しくはあるが楽しいが勝つ譜面。最後には入れ替え必須な初見殺し配置も見られる
31	エゴロック	×	×	×	31.5	225	01:48.8	純粋に速いが16分の連打は2回しか登場しないのでそこの対策で意外と太刀打ち可能
31	HERO	×	敷譜面	交差譜面	31.5	190	01:59.4	おもろいギミックの詰め合わせセット。ラスサビ前など31相応の地力が求められる配置も多い
31	ショウタイム・ルーラー	×	×	×	31.5	204	01:44.7	サビから難易度が上昇する結構前の譜面の典型例。終点は奥めに引っ張って遅めに離すのが吉
31	気まぐれメルシィ	×	×	×	31.5	160	02:24.0	通常フリックと終点フリックの仕様の違いの理解力が試される。純粋に難しい連打も注意
31	ネトゲ廃人シュプレヒコール	×	×	×	31.5	175	02:19.9	地力と譜面への対応力が求められる。2連打する指を決めておくのが攻略への最短ルート
